timestamps;TP9;AF7;AF8;TP10;Right AUX
1553642452;-41.992;13.184;43.457;-47.852;22.461
1553642452;-55.176;8.789;41.016;-47.363;-11.23
1553642452;-50.293;7.324;39.062;-67.871;-0.977
1553642452;-41.504;6.348;44.434;-52.246;29.297
1553642452;-44.434;7.324;49.805;-47.363;13.184
1553642452;-44.922;7.812;49.316;-65.918;-19.531
1553642452;-34.668;9.766;46.387;-58.594;-2.441
1553642452;-11.23;8.789;43.945;-37.109;30.762
1553642452;8.789;8.301;41.992;-24.902;33.691
1553642452;-9.277;8.301;39.062;-33.203;17.09
1553642452;-24.902;11.23;34.668;-23.438;19.531
1553642452;-13.672;15.625;36.621;-7.812;46.875
1553642452;-3.906;18.066;38.086;-20.996;67.383
1553642452;-5.371;20.508;38.086;-27.832;48.828
1553642452;-6.348;23.438;36.621;-20.02;33.203
1553642452;2.93;26.367;37.598;-5.859;57.129
1553642452;9.766;28.809;39.062;-2.441;73.73
1553642452;7.324;28.809;36.133;-16.602;56.641
1553642452;-2.441;26.367;33.203;-19.043;34.18
1553642452;-1.465;29.297;35.156;-15.625;40.527
1553642452;-1.465;30.273;33.691;-21.973;63.965
1553642452;-4.883;29.785;33.691;-20.508;66.406
1553642452;-4.883;29.297;40.039;1.953;39.551
1553642452;3.418;26.855;42.48;11.23;39.551
1553642452;16.602;29.785;43.457;0;71.289
1553642452;10.254;30.762;37.109;-8.789;80.566
1553642452;15.625;30.762;29.297;1.465;56.152
1553642452;27.832;33.203;32.715;9.277;43.945
1553642452;13.184;31.25;30.762;15.625;72.266
1553642452;-1.953;29.297;28.809;2.93;93.75
1553642452;0.977;33.203;28.809;-21.973;74.219
1553642452;10.742;36.621;29.297;-3.418;55.176
1553642452;8.789;36.133;32.715;3.418;69.824
1553642452;16.602;36.621;36.133;-1.953;93.75
1553642452;18.066;39.062;35.156;-6.836;87.402
1553642452;13.184;41.016;35.645;3.906;68.848
1553642452;13.672;41.016;40.527;22.461;70.801
1553642452;24.902;42.969;36.133;17.578;86.426
1553642452;35.645;45.898;35.156;24.414;84.473
1553642452;26.855;44.434;35.156;38.086;57.129
1553642452;21.484;40.527;28.809;20.508;48.34
1553642452;26.855;42.48;35.156;4.395;81.055
1553642452;34.668;44.434;39.551;2.441;91.309
1553642452;36.133;41.992;34.668;2.441;54.688
1553642452;31.738;43.457;31.738;13.184;42.969
