timestamps;TP9;AF7;AF8;TP10;Right AUX
1553640582;22.461;34.18;31.25;41.504;31.25
1553640582;31.25;32.715;31.738;9.766;25.879
1553640582;41.504;31.25;31.738;3.418;29.297
1553640582;30.762;30.273;33.203;23.926;35.645
1553640582;15.137;31.25;31.738;31.25;37.109
1553640582;10.742;28.809;32.227;39.551;32.715
1553640582;20.996;27.344;36.133;58.105;29.297
1553640582;24.902;27.832;36.621;48.828;32.227
1553640582;36.621;28.32;36.133;25.391;27.344
1553640582;45.898;28.809;35.645;24.414;23.438
1553640582;35.156;30.273;32.715;34.668;19.043
1553640582;22.461;30.762;30.762;57.129;28.809
1553640582;29.785;26.855;31.25;64.453;36.621
1553640582;23.926;25.391;33.203;32.227;35.645
1553640582;19.531;26.855;34.18;17.578;34.18
1553640582;36.621;27.832;30.762;18.555;41.992
1553640582;22.461;27.344;27.344;18.066;43.457
1553640582;37.109;30.762;23.926;27.832;42.969
1553640582;84.961;34.18;18.555;50.781;61.523
1553640582;74.707;31.25;25.879;67.871;66.406
1553640582;34.18;22.461;41.992;42.48;32.715
1553640582;12.207;12.695;47.363;34.668;13.184
1553640582;-2.93;5.371;43.945;33.203;10.742
1553640582;-15.625;5.859;38.086;24.414;4.883
1553640582;-4.883;13.672;35.156;21.484;11.719
1553640582;-3.418;17.09;31.738;12.695;3.418
1553640582;-24.414;16.602;31.738;20.508;-5.371
1553640582;-10.742;19.043;32.227;16.602;4.395
1553640582;19.531;21.973;28.809;6.836;20.996
1553640583;28.32;19.531;28.809;22.461;27.344
1553640583;30.762;18.066;27.832;35.156;18.066
1553640583;17.578;17.578;23.926;31.738;11.719
1553640583;1.953;14.16;25.391;10.742;18.066
1553640583;6.836;14.16;33.203;12.695;30.762
1553640583;12.207;15.625;35.645;26.855;34.668
1553640583;20.508;14.648;31.25;20.996;29.297
1553640583;23.438;15.137;29.297;21.973;23.926
1553640583;14.648;18.555;32.227;61.523;34.18
1553640583;13.184;21.484;32.715;55.664;38.086
1553640583;13.672;21.973;33.203;15.137;26.367
1553640583;10.742;21.484;32.227;20.508;20.508
1553640583;11.23;19.531;29.297;13.672;23.926
1553640583;6.348;15.625;29.297;6.836;26.855
1553640583;9.277;11.719;29.785;7.812;19.531
1553640583;28.809;18.555;26.855;11.23;11.719
1553640583;32.227;27.832;27.344;17.578;24.902
1553640583;25.879;25.879;30.273;30.762;32.715
1553640583;29.785;21.973;32.227;41.992;30.273
1553640583;27.344;21.973;32.715;47.363;28.32
1553640583;37.109;24.902;31.25;41.504;29.297
1553640583;33.203;22.461;29.785;29.785;33.203
1553640583;15.137;20.996;30.762;36.133;35.156
1553640583;36.133;22.461;29.297;21.484;33.691
1553640583;56.152;15.625;28.809;7.812;35.645
1553640583;40.527;14.16;29.785;19.531;35.645
1553640583;22.949;15.625;30.762;22.949;30.273
1553640583;14.648;14.648;31.738;27.832;24.902
1553640583;6.836;11.23;32.715;27.832;24.414
1553640583;10.254;8.789;30.273;31.738;35.156
1553640583;15.625;17.578;27.344;42.48;39.062
1553640583;22.461;22.461;30.762;32.227;29.785
1553640583;27.344;22.461;35.156;33.203;20.02
1553640583;31.25;23.438;37.109;37.598;24.902
1553640583;29.785;22.949;35.645;35.156;30.273
1553640583;32.227;24.414;33.691;40.039;28.32
1553640583;16.602;22.949;32.227;41.992;22.949
1553640583;17.09;18.066;30.762;46.387;29.297
1553640583;37.109;18.555;30.273;48.34;40.039
1553640583;30.273;20.02;32.227;45.41;30.762
1553640583;29.785;21.484;32.227;38.574;24.414
1553640583;37.598;18.066;31.25;37.109;31.25
1553640583;30.762;14.648;33.203;52.734;43.945
1553640583;38.574;21.973;37.109;62.012;49.805
1553640583;54.199;22.949;40.039;60.059;50.293
1553640583;38.574;23.926;39.551;35.645;31.25
1553640583;27.832;29.297;33.691;19.043;26.367
1553640583;27.344;29.785;30.762;22.461;29.785
1553640583;34.18;25.391;29.785;27.344;22.461
1553640583;26.855;20.02;26.367;35.645;21.973
1553640583;23.438;23.926;24.902;32.227;20.508
1553640583;33.203;31.25;25.879;37.109;26.367
1553640583;27.832;27.832;24.414;47.363;26.855
1553640583;25.879;23.438;23.438;53.711;19.043
1553640583;32.715;23.926;29.297;52.734;25.879
1553640583;25.879;19.531;34.18;39.551;37.598
1553640583;25.879;20.996;32.227;45.898;31.738
1553640583;31.738;17.09;30.273;41.016;24.414
1553640583;26.367;8.789;31.25;29.297;30.762
1553640583;30.273;10.742;28.809;30.273;40.527
1553640583;37.598;16.602;23.926;27.832;39.062
1553640583;56.641;18.066;23.926;18.066;32.227
1553640583;70.801;18.066;23.926;16.602;24.902
1553640583;43.457;16.602;23.438;25.391;32.715
1553640583;21.484;17.578;25.391;24.414;41.504
1553640583;11.23;15.137;27.832;38.086;39.062
1553640583;11.719;4.395;26.367;46.875;33.691
1553640583;12.207;-0.977;25.879;44.922;38.574
1553640583;1.465;0.488;27.832;46.387;47.363
1553640583;16.602;4.395;26.367;40.039;41.504
1553640583;21.973;6.836;27.832;46.387;33.203
1553640583;24.902;7.324;29.785;63.965;34.668
1553640583;38.574;11.23;28.32;61.035;40.527
1553640583;41.992;17.09;33.691;41.992;39.062
1553640583;41.504;17.578;36.621;52.246;32.715
1553640583;31.25;16.602;29.785;43.945;34.18
1553640583;24.902;13.184;26.367;27.344;41.016
1553640583;38.086;9.277;29.297;47.852;38.574
1553640583;51.758;9.766;31.738;55.664;33.691
1553640583;41.016;12.695;33.203;67.383;36.133
1553640583;39.062;14.16;35.645;79.59;51.27
1553640583;58.594;18.066;35.645;49.805;58.594
1553640583;58.105;16.113;32.715;16.113;56.152
1553640583;25.879;10.254;32.715;13.672;47.852
1553640583;7.324;7.812;31.25;5.859;44.434
1553640583;26.367;5.859;29.297;0.488;47.363
1553640583;30.762;6.836;29.785;17.578;40.527
1553640583;20.508;7.324;32.227;25.391;33.203
1553640583;24.414;-0.977;31.25;21.973;28.32
1553640583;21.484;-2.441;32.227;30.762;29.785
1553640583;20.508;2.93;35.156;35.156;32.715
1553640583;27.344;3.418;31.738;29.297;22.949
1553640583;25.879;3.906;32.227;38.574;18.555
1553640583;35.156;7.812;34.18;38.574;35.645
1553640583;45.898;10.742;35.156;39.551;36.621
1553640583;38.574;9.277;32.715;45.41;28.809
1553640583;32.715;5.859;31.738;34.18;30.762
1553640583;33.203;1.465;34.668;34.668;24.902
1553640583;34.668;1.465;35.645;41.504;23.926
1553640583;34.18;3.418;34.668;41.992;23.926
1553640583;30.273;2.93;35.156;54.199;13.184
1553640583;35.156;7.324;35.156;62.012;11.719
1553640583;30.762;6.348;31.738;45.898;18.555
1553640583;29.297;-0.977;32.227;37.109;23.438
