timestamps;TP9;AF7;AF8;TP10;Right AUX
1553639734;-13.672;23.926;30.762;14.648;19.531
1553639734;4.395;20.996;33.203;10.742;22.461
1553639734;6.836;23.926;35.645;8.789;27.832
1553639734;11.719;26.367;33.203;20.508;28.809
1553639734;13.184;22.461;27.832;21.484;33.203
1553639734;22.949;26.367;27.344;14.16;35.156
1553639734;30.273;28.32;30.273;1.953;27.344
1553639734;6.836;26.367;33.203;3.906;30.762
1553639734;-7.812;27.344;32.227;11.23;38.574
1553639734;1.465;20.996;30.762;13.672;41.504
1553639734;3.906;18.066;30.273;16.602;40.527
1553639734;15.625;22.949;28.809;20.996;38.574
1553639734;35.645;27.832;26.367;34.668;43.945
1553639734;15.625;29.297;28.809;41.992;51.27
1553639734;9.277;25.391;35.645;42.969;52.734
1553639734;16.113;22.461;36.133;47.363;47.363
1553639734;18.555;20.508;32.715;52.734;46.387
1553639734;28.32;24.902;29.297;47.363;53.711
1553639734;19.043;25.879;28.809;36.621;57.617
1553639734;25.391;20.996;31.738;36.621;51.27
1553639734;30.273;20.02;29.297;43.457;54.199
1553639734;38.086;20.02;30.273;45.898;60.059
1553639734;49.316;22.949;32.227;62.5;57.129
1553639734;41.504;22.461;33.203;65.43;52.246
1553639734;29.785;22.461;35.156;42.48;51.27
1553639734;43.945;26.855;24.902;39.062;53.223
1553639734;31.738;25.879;23.438;38.574;54.688
1553639734;23.438;24.902;32.227;43.457;47.852
1553639734;25.879;24.902;24.414;55.664;37.109
1553639734;21.484;29.785;24.414;49.805;38.574
1553639734;15.137;31.25;32.715;38.086;43.457
1553639734;11.719;27.344;33.203;37.598;39.551
1553639734;18.555;24.902;33.691;55.664;34.668
1553639734;20.996;24.902;36.133;68.848;29.785
1553639734;20.02;27.832;30.273;56.641;33.691
1553639734;18.066;33.691;31.738;42.969;38.086
1553639734;10.742;36.133;40.039;39.551;27.344
1553639734;18.066;33.203;40.039;31.25;25.879
1553639734;18.555;32.227;39.551;22.949;35.156
1553639734;12.207;33.691;39.062;27.832;34.18
1553639734;17.578;32.227;33.203;23.438;25.879
1553639734;21.484;28.809;30.273;32.715;25.879
1553639734;28.32;29.297;30.762;43.457;27.832
1553639734;16.602;32.227;26.855;39.062;25.879
1553639734;14.648;29.785;27.344;40.039;20.996
1553639734;32.715;32.227;31.738;40.527;18.066
1553639734;28.809;34.668;29.785;27.344;15.137
1553639734;20.996;30.273;29.297;24.414;17.09
1553639734;26.367;31.25;35.156;40.527;23.926
1553639734;28.809;34.668;32.227;51.758;20.996
1553639734;24.414;29.785;26.367;41.992;24.414
1553639734;20.508;27.832;29.297;32.227;34.668
1553639734;15.137;33.203;35.156;45.898;38.086
1553639734;24.414;38.086;38.086;45.898;34.18
