timestamps;TP9;AF7;AF8;TP10;Right AUX
1553639319;36.133;38.086;28.809;19.043;31.738
1553639319;48.34;37.109;26.855;28.809;39.551
1553639319;41.504;35.156;25.879;39.551;38.574
1553639319;37.598;35.156;23.926;32.227;46.387
1553639319;42.48;35.156;25.879;29.297;53.223
1553639319;52.246;40.527;28.32;31.25;53.223
1553639319;51.27;41.992;27.344;33.691;59.57
1553639319;36.133;40.527;29.785;40.527;57.129
1553639319;32.227;41.992;32.715;40.039;42.969
1553639319;32.227;41.016;33.691;37.598;38.086
1553639319;32.227;39.062;34.668;48.828;41.992
1553639319;31.25;40.039;36.133;44.434;37.598
1553639319;32.227;35.645;33.203;30.762;34.18
1553639319;31.738;37.598;27.344;26.367;34.668
1553639319;31.738;40.527;28.32;22.461;24.414
1553639319;36.621;40.039;37.109;27.344;24.414
1553639319;34.668;41.016;37.109;29.785;33.691
1553639319;38.574;44.922;36.133;32.227;38.086
1553639319;48.34;45.898;37.598;34.18;35.645
1553639319;40.527;44.922;39.062;37.109;35.156
1553639319;33.691;44.922;38.574;38.086;32.715
1553639319;39.551;44.922;36.133;36.621;24.902
1553639319;36.621;43.457;34.668;37.598;26.367
1553639319;30.273;41.504;32.715;38.086;27.344
1553639319;31.738;41.016;29.785;37.109;30.273
1553639319;37.109;40.527;28.809;39.551;29.785
1553639319;42.48;37.598;28.809;38.574;27.344
1553639319;46.875;36.133;28.32;27.832;25.879
1553639319;54.688;36.133;30.762;40.039;20.508
1553639319;53.223;32.227;31.25;80.566;8.301
1553639319;42.48;32.715;29.297;62.012;4.395
1553639319;30.273;37.109;28.809;8.301;7.324
1553639319;18.066;35.156;28.32;-14.648;6.348
1553639319;8.789;33.691;26.855;-18.066;0.488
1553639320;10.254;34.668;28.809;-10.254;-3.906
1553639320;16.602;35.156;35.645;-1.953;0.977
1553639320;16.602;32.715;35.645;-6.836;2.441
1553639320;17.578;31.738;29.297;-8.301;3.906
1553639320;18.066;30.273;28.809;2.93;7.812
1553639320;17.578;29.785;33.203;9.766;12.695
1553639320;24.902;29.297;35.645;8.301;22.461
1553639320;24.414;26.855;30.273;0.977;25.391
1553639320;20.508;29.785;24.902;1.953;22.461
1553639320;22.461;31.25;26.367;5.859;25.879
1553639320;24.902;26.367;30.762;16.113;30.273
1553639320;36.621;24.902;33.691;28.809;38.086
1553639320;44.434;24.414;33.203;38.574;40.527
1553639320;52.246;23.438;32.227;43.457;51.27
